Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
42592230,05/05/2019 06:04:54 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11230,1000 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,NEWKIRK AVENUE,PARKVILLE AVENUE,NEWKIRK AVENUE,PARKVILLE AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 10:07:52 PM,14 BROOKLYN,BROOKLYN,993393,169981,Unspecified,BROOKLYN,,,,,,,,40.633230423579924,-73.96705919947723,"(40.633230423579924, -73.96705919947723)"
42592844,05/05/2019 04:59:48 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10454,130 WILLIS AVENUE,WILLIS AVENUE,,,,,LATLONG,BRONX,,,In Progress,,05/05/2019 09:02:22 AM,01 BRONX,BRONX,1005137,233016,Unspecified,BRONX,,,,,,,,40.806226284661925,-73.9245518098184,"(40.806226284661925, -73.9245518098184)"
42592845,05/05/2019 03:01:32 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,1225 BUSHWICK AVENUE,BUSHWICK AVENUE,HANCOCK STREET,WEIRFIELD STREET,HANCOCK STREET,WEIRFIELD STREET,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 07:16:11 AM,04 BROOKLYN,BROOKLYN,1007773,189880,Unspecified,BROOKLYN,,,,,,,,40.68782225004939,-73.91518090940696,"(40.68782225004939, -73.91518090940696)"
42592846,05/05/2019 11:34:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11212,1729 PITKIN AVENUE,PITKIN AVENUE,THATFORD AVENUE,OSBORN STREET,THATFORD AVENUE,OSBORN STREET,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 03:44:00 PM,16 BROOKLYN,BROOKLYN,1009406,183354,Unspecified,BROOKLYN,,,,,,,,40.6699053765992,-73.90931701232769,"(40.6699053765992, -73.90931701232769)"
42593479,05/05/2019 11:54:24 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10469,2927 GRACE AVENUE,GRACE AVENUE,,,,,LATLONG,BRONX,,,In Progress,,05/05/2019 03:57:14 PM,12 BRONX,BRONX,1029702,256597,Unspecified,BRONX,,,,,,,,40.87085694118074,-73.83565826452883,"(40.87085694118074, -73.83565826452883)"
42593480,05/05/2019 07:32:41 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,1099 PUTNAM AVENUE,PUTNAM AVENUE,,,,,LATLONG,BROOKLYN,,,In Progress,,05/05/2019 11:36:02 PM,04 BROOKLYN,BROOKLYN,1006761,190081,Unspecified,BROOKLYN,,,,,,,,40.688376580431665,-73.91882929913498,"(40.688376580431665, -73.91882929913498)"
42593481,05/05/2019 04:52:23 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,210 WEST 107 STREET,WEST 107 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/05/2019 08:54:56 PM,07 MANHATTAN,MANHATTAN,993655,231179,Unspecified,MANHATTAN,,,,,,,,40.801203907874864,-73.96602974960301,"(40.801203907874864, -73.96602974960301)"
42593482,05/05/2019 02:20:05 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11229,2261 OCEAN AVENUE,OCEAN AVENUE,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 06:46:13 AM,15 BROOKLYN,BROOKLYN,997355,160363,Unspecified,BROOKLYN,,,,,,,,40.60682604434031,-73.95280340509883,"(40.60682604434031, -73.95280340509883)"
42593483,05/05/2019 05:40:30 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457,306 EAST 171 STREET,EAST 171 STREET,COLLEGE AVENUE,TELLER AVENUE,COLLEGE AVENUE,TELLER AVENUE,ADDRESS,BRONX,,,In Progress,,05/05/2019 09:45:19 AM,04 BRONX,BRONX,1009237,244828,Unspecified,BRONX,,,,,,,,40.83863621992669,-73.90969778136574,"(40.83863621992669, -73.90969778136574)"
42594097,05/05/2019 08:32:13 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10028,427 EAST 82 STREET,EAST 82 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 12:38:50 AM,08 MANHATTAN,MANHATTAN,997960,221263,Unspecified,MANHATTAN,,,,,,,,40.7739815161207,-73.95050061028407,"(40.7739815161207, -73.95050061028407)"
42595272,05/05/2019 10:12:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,63 FENIMORE STREET,FENIMORE STREET,,,,,LATLONG,BROOKLYN,,,In Progress,,05/06/2019 02:15:19 AM,09 BROOKLYN,BROOKLYN,995314,179086,Unspecified,BROOKLYN,,,,,,,,40.658219489952515,-73.9601232042011,"(40.658219489952515, -73.9601232042011)"
42595274,05/05/2019 09:23:20 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11233,761 HANCOCK STREET,HANCOCK STREET,PATCHEN AVENUE,RALPH AVENUE,PATCHEN AVENUE,RALPH AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/05/2019 01:26:04 PM,03 BROOKLYN,BROOKLYN,1005079,189006,Unspecified,BROOKLYN,,,,,,,,40.68543007101029,-73.92489761512275,"(40.68543007101029, -73.92489761512275)"
42596671,05/06/2019 10:07:01 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11205,169 WASHINGTON PARK,WASHINGTON PARK,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 02:14:50 PM,02 BROOKLYN,BROOKLYN,991561,191480,Unspecified,BROOKLYN,,,,,,,,40.69224212076095,-73.97363629679272,"(40.69224212076095, -73.97363629679272)"
42596672,05/06/2019 10:16:40 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11372,94-11 34 ROAD,34 ROAD,94 STREET,JUNCTION BOULEVARD,94 STREET,JUNCTION BOULEVARD,ADDRESS,JACKSON HEIGHTS,,,In Progress,,05/07/2019 02:21:19 AM,03 QUEENS,QUEENS,1019347,213913,Unspecified,QUEENS,,,,,,,,40.75374863866246,-73.87332217947434,"(40.75374863866246, -73.87332217947434)"
42596673,05/06/2019 01:01:40 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11249,117 SOUTH 4 STREET,SOUTH 4 STREET,BERRY STREET,BEDFORD AVENUE,BERRY STREET,BEDFORD AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 05:07:12 PM,01 BROOKLYN,BROOKLYN,994369,198723,Unspecified,BROOKLYN,,,,,,,,40.71211969078851,-73.96349967554994,"(40.71211969078851, -73.96349967554994)"
42596674,05/06/2019 04:12:37 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207,1471 BUSHWICK AVENUE,BUSHWICK AVENUE,PILLING STREET,GRANITE STREET,PILLING STREET,GRANITE STREET,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 08:29:23 PM,04 BROOKLYN,BROOKLYN,1009899,188295,Unspecified,BROOKLYN,,,,,,,,40.68346588431752,-73.90752103065894,"(40.68346588431752, -73.90752103065894)"
42596675,05/06/2019 01:22:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11211,392 SOUTH 5 STREET,SOUTH 5 STREET,HOOPER STREET,HEWES STREET,HOOPER STREET,HEWES STREET,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 05:33:40 PM,01 BROOKLYN,BROOKLYN,997192,197091,Unspecified,BROOKLYN,,,,,,,,40.70763655949721,-73.95331994881569,"(40.70763655949721, -73.95331994881569)"
42596676,05/06/2019 05:42:34 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,11216,197 MADISON STREET,MADISON STREET,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 09:47:24 AM,03 BROOKLYN,BROOKLYN,997709,188707,Unspecified,BROOKLYN,,,,,,,,40.6846236596084,-73.95147195246425,"(40.6846236596084, -73.95147195246425)"
42597802,05/06/2019 02:33:40 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,1067 JEFFERSON AVENUE,JEFFERSON AVENUE,,,,,LATLONG,BROOKLYN,,,In Progress,,05/06/2019 06:36:55 PM,04 BROOKLYN,BROOKLYN,1007345,189993,Unspecified,BROOKLYN,,,,,,,,40.68813353613162,-73.91672380091461,"(40.68813353613162, -73.91672380091461)"
42597804,05/06/2019 10:17:38 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10451,335E EAST 148 STREET,EAST 148 STREET,,,,,LATLONG,BRONX,,,In Progress,,05/07/2019 02:21:19 AM,01 BRONX,BRONX,1006242,236595,Unspecified,BRONX,,,,,,,,40.81604695942864,-73.92054859614048,"(40.81604695942864, -73.92054859614048)"
42597805,05/06/2019 02:34:51 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10014,23 LEROY STREET,LEROY STREET,BLEECKER STREET,BEDFORD STREET,BLEECKER STREET,BEDFORD STREET,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 06:38:58 AM,02 MANHATTAN,MANHATTAN,983248,205480,Unspecified,MANHATTAN,,,,,,,,40.730671754366526,-74.00361532822049,"(40.730671754366526, -74.00361532822049)"
42597806,05/06/2019 08:52:53 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10035,68 EAST 119 STREET,EAST 119 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/07/2019 12:57:27 AM,11 MANHATTAN,MANHATTAN,1000091,231339,Unspecified,MANHATTAN,,,,,,,,40.80163386951293,-73.94278296255261,"(40.80163386951293, -73.94278296255261)"
42597807,05/06/2019 09:07:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11236,9 ROSE STREET,ROSE STREET,FARRAGUT ROAD,DEAD END,FARRAGUT ROAD,DEAD END,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 01:14:49 AM,18 BROOKLYN,BROOKLYN,1009968,173949,Unspecified,BROOKLYN,,,,,,,,40.644089114036305,-73.90732696984327,"(40.644089114036305, -73.90732696984327)"
42597808,05/06/2019 08:00:53 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207,226 SCHAEFER STREET,SCHAEFER STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 12:10:32 AM,04 BROOKLYN,BROOKLYN,1010135,190984,Unspecified,BROOKLYN,,,,,,,,40.69084588174556,-73.90665978851818,"(40.69084588174556, -73.90665978851818)"
42597809,05/06/2019 06:38:50 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11691,120 BEACH 19 STREET,BEACH 19 STREET,BEND,SEAGIRT BOULEVARD,BEND,SEAGIRT BOULEVARD,ADDRESS,FAR ROCKAWAY,,,In Progress,,05/06/2019 10:46:11 PM,14 QUEENS,QUEENS,1052798,155627,Unspecified,QUEENS,,,,,,,,40.59357130017884,-73.75317862488698,"(40.59357130017884, -73.75317862488698)"
42597810,05/06/2019 05:52:19 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10030,300 WEST 142 STREET,WEST 142 STREET,8 AVENUE,BRADHURST AVENUE,8 AVENUE,BRADHURST AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 10:09:23 PM,10 MANHATTAN,MANHATTAN,999882,238392,Unspecified,MANHATTAN,,,,,,,,40.82099276164245,-73.94352143653646,"(40.82099276164245, -73.94352143653646)"
42598452,05/06/2019 10:02:12 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Day Care/Nursery,10021,510 EAST 74 STREET,EAST 74 STREET,YORK AVENUE,DEAD END,YORK AVENUE,DEAD END,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 02:08:26 PM,08 MANHATTAN,MANHATTAN,997467,219065,Unspecified,MANHATTAN,,,,,,,,40.76794933106231,-73.95228488880326,"(40.76794933106231, -73.95228488880326)"
42598951,05/06/2019 02:37:01 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10012,280 MULBERRY STREET,MULBERRY STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/06/2019 06:41:01 AM,02 MANHATTAN,MANHATTAN,985648,203167,Unspecified,MANHATTAN,,,,,,,,40.72432307926331,-73.99495633995117,"(40.72432307926331, -73.99495633995117)"
42598952,05/06/2019 08:32:25 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,500 SAINT JOHN'S PLACE,SAINT JOHN'S PLACE,WASHINGTON AVENUE,CLASSON AVENUE,WASHINGTON AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 12:38:03 PM,08 BROOKLYN,BROOKLYN,994904,184579,Unspecified,BROOKLYN,,,,,,,,40.67329705625501,-73.96159224277311,"(40.67329705625501, -73.96159224277311)"
42598953,05/06/2019 09:53:13 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11215,156 12 STREET,12 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 01:56:42 AM,06 BROOKLYN,BROOKLYN,986467,183155,Unspecified,BROOKLYN,,,,,,,,40.66939462842434,-73.99200816471095,"(40.66939462842434, -73.99200816471095)"
42598954,05/06/2019 04:41:45 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11217,101 SAINT FELIX STREET,SAINT FELIX STREET,LAFAYETTE AVENUE,HANSON PLACE,LAFAYETTE AVENUE,HANSON PLACE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 08:48:15 PM,02 BROOKLYN,BROOKLYN,990558,189358,Unspecified,BROOKLYN,,,,,,,,40.68641849066169,-73.97725513402322,"(40.68641849066169, -73.97725513402322)"
42598956,05/06/2019 01:06:50 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,364 EAST 209 STREET,EAST 209 STREET,DECATUR AVENUE,PARKSIDE PLACE,DECATUR AVENUE,PARKSIDE PLACE,ADDRESS,BRONX,,,In Progress,,05/06/2019 05:13:28 PM,07 BRONX,BRONX,1019239,258546,Unspecified,BRONX,,,,,,,,40.8762540177947,-73.87347931097128,"(40.8762540177947, -73.87347931097128)"
42598957,05/06/2019 08:52:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,407 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 12:56:39 PM,08 BROOKLYN,BROOKLYN,994507,184409,Unspecified,BROOKLYN,,,,,,,,40.67283091333569,-73.96302368954532,"(40.67283091333569, -73.96302368954532)"
42598958,05/06/2019 09:31:07 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,375 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 01:34:15 AM,08 BROOKLYN,BROOKLYN,994293,184469,Unspecified,BROOKLYN,,,,,,,,40.672995845212846,-73.96379506641603,"(40.672995845212846, -73.96379506641603)"
42600047,05/06/2019 11:38:19 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11419,107-21 120 STREET,120 STREET,,,,,LATLONG,SOUTH RICHMOND HILL,,,In Progress,,05/06/2019 03:45:21 PM,10 QUEENS,QUEENS,1033689,188534,Unspecified,QUEENS,,,,,,,,40.6840209760553,-73.82174322077074,"(40.6840209760553, -73.82174322077074)"
42600048,05/06/2019 04:53:58 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458,2605 MARION AVENUE,MARION AVENUE,,,,,LATLONG,BRONX,,,In Progress,,05/06/2019 08:56:30 PM,07 BRONX,BRONX,1014184,254083,Unspecified,BRONX,,,,,,,,40.86402304819034,-73.89177817596196,"(40.86402304819034, -73.89177817596196)"
42600049,05/06/2019 09:12:41 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10314,33 COLLEGE AVENUE,COLLEGE AVENUE,BROOKSIDE AVENUE,MANOR ROAD,BROOKSIDE AVENUE,MANOR ROAD,ADDRESS,STATEN ISLAND,,,In Progress,,05/06/2019 01:22:45 PM,01 STATEN ISLAND,STATEN ISLAND,950380,165939,Unspecified,STATEN ISLAND,,,,,,,,40.62207595962465,-74.1220079617417,"(40.62207595962465, -74.1220079617417)"
42600051,05/06/2019 03:52:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10026,141 WEST 119 STREET,WEST 119 STREET,LENOX AVENUE,7 AVENUE,LENOX AVENUE,7 AVENUE,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 07:55:17 PM,10 MANHATTAN,MANHATTAN,998228,232378,Unspecified,MANHATTAN,,,,,,,,40.80448878254608,-73.94950987689484,"(40.80448878254608, -73.94950987689484)"
42600052,05/06/2019 11:24:29 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11213,231 TROY AVENUE,TROY AVENUE,STERLING PLACE,ST JOHNS PLACE,STERLING PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 03:29:19 PM,08 BROOKLYN,BROOKLYN,1001884,183888,Unspecified,BROOKLYN,,,,,,,,40.67138926477366,-73.93643110046307,"(40.67138926477366, -73.93643110046307)"
42600053,05/06/2019 09:37:24 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11215,175 12 STREET,12 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 01:40:20 AM,06 BROOKLYN,BROOKLYN,986530,183122,Unspecified,BROOKLYN,,,,,,,,40.66930403479225,-73.99178107365302,"(40.66930403479225, -73.99178107365302)"
42600054,05/06/2019 07:25:18 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11226,180 EAST 17 STREET,EAST 17 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 11:30:55 PM,14 BROOKLYN,BROOKLYN,994390,174728,Unspecified,BROOKLYN,,,,,,,,40.64625883653614,-73.96346003048849,"(40.64625883653614, -73.96346003048849)"
42600055,05/06/2019 10:34:56 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11249,94 WILSON STREET,WILSON STREET,WYTHE PLACE,BEDFORD AVENUE,WYTHE PLACE,BEDFORD AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 02:44:32 PM,01 BROOKLYN,BROOKLYN,994338,195989,Unspecified,BROOKLYN,,,,,,,,40.704615543835,-73.96361559209396,"(40.704615543835, -73.96361559209396)"
42600056,05/06/2019 04:54:59 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10452,GERARD AVENUE,GERARD AVENUE,EAST 162 STREET,EAST 164 STREET,EAST 162 STREET,EAST 164 STREET,BLOCKFACE,BRONX,,,In Progress,,05/06/2019 09:13:04 PM,04 BRONX,BRONX,1005318,241431,Unspecified,BRONX,,,,,,,,40.829322657034695,-73.9238715835019,"(40.829322657034695, -73.9238715835019)"
42601226,05/06/2019 07:20:46 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10035,68 EAST 119 STREET,EAST 119 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/06/2019 11:23:48 PM,11 MANHATTAN,MANHATTAN,1000108,231240,Unspecified,MANHATTAN,,,,,,,,40.80136211117398,-73.94272179309,"(40.80136211117398, -73.94272179309)"
42601227,05/06/2019 07:24:27 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10035,70 EAST 119 STREET,EAST 119 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/06/2019 11:27:52 PM,11 MANHATTAN,MANHATTAN,1000125,231231,Unspecified,MANHATTAN,,,,,,,,40.80133737811537,-73.94266041133949,"(40.80133737811537, -73.94266041133949)"
42601228,05/06/2019 10:05:58 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,917 GREENE AVENUE,GREENE AVENUE,STUYVESANT AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 02:08:27 PM,03 BROOKLYN,BROOKLYN,1003350,190929,Unspecified,BROOKLYN,,,,,,,,40.690712162898286,-73.93112635463505,"(40.690712162898286, -73.93112635463505)"
42601229,05/06/2019 04:25:42 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10454,130 WILLIS AVENUE,WILLIS AVENUE,,,,,LATLONG,BRONX,,,In Progress,,05/06/2019 08:28:27 AM,01 BRONX,BRONX,1005137,233016,Unspecified,BRONX,,,,,,,,40.806226284661925,-73.9245518098184,"(40.806226284661925, -73.9245518098184)"
42601231,05/06/2019 02:15:21 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10466,4327 WILDER AVENUE,WILDER AVENUE,PITMAN AVENUE,NEREID AVENUE,PITMAN AVENUE,NEREID AVENUE,ADDRESS,BRONX,,,In Progress,,05/06/2019 06:25:14 PM,12 BRONX,BRONX,1027458,266456,Unspecified,BRONX,,,,,,,,40.89792803897644,-73.8437083217415,"(40.89792803897644, -73.8437083217415)"
42601232,05/06/2019 06:48:46 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10040,330 WADSWORTH AVENUE,WADSWORTH AVENUE,WEST 189 STREET,WEST 190 STREET,WEST 189 STREET,WEST 190 STREET,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 10:56:22 PM,12 MANHATTAN,MANHATTAN,1003321,250853,Unspecified,MANHATTAN,,,,,,,,40.855187823453626,-73.93106086962486,"(40.855187823453626, -73.93106086962486)"
42601234,05/06/2019 05:18:59 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207,32 COOPER STREET,COOPER STREET,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/06/2019 09:29:24 PM,04 BROOKLYN,BROOKLYN,1009000,188588,Unspecified,BROOKLYN,,,,,,,,40.684272661477614,-73.91076134922123,"(40.684272661477614, -73.91076134922123)"
42601235,05/06/2019 10:39:41 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216,631 SAINT MARKS AVENUE,SAINT MARKS AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,,,In Progress,,05/07/2019 02:43:47 AM,08 BROOKLYN,BROOKLYN,997545,185319,Unspecified,BROOKLYN,,,,,,,,40.675324617220426,-73.95206995818978,"(40.675324617220426, -73.95206995818978)"
42601236,05/06/2019 04:18:58 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11385,588 GRANDVIEW AVENUE,GRANDVIEW AVENUE,MENAHAN STREET,GROVE STREET,MENAHAN STREET,GROVE STREET,ADDRESS,RIDGEWOOD,,,In Progress,,05/06/2019 08:29:23 PM,05 QUEENS,QUEENS,1010347,197463,Unspecified,QUEENS,,,,,,,,40.70862859047251,-73.90587022081988,"(40.70862859047251, -73.90587022081988)"
42601237,05/06/2019 04:56:06 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10027,2070 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,WEST 123 STREET,WEST 124 STREET,WEST 123 STREET,WEST 124 STREET,ADDRESS,NEW YORK,,,In Progress,,05/06/2019 09:13:04 PM,10 MANHATTAN,MANHATTAN,998347,233643,Unspecified,MANHATTAN,,,,,,,,40.807960669032425,-73.94907737920948,"(40.807960669032425, -73.94907737920948)"
42602348,05/06/2019 07:22:43 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10035,70 EAST 119 STREET,EAST 119 STREET,,,,,LATLONG,NEW YORK,,,In Progress,,05/06/2019 11:25:50 PM,11 MANHATTAN,MANHATTAN,1000125,231231,Unspecified,MANHATTAN,,,,,,,,40.80133737811537,-73.94266041133949,"(40.80133737811537, -73.94266041133949)"
42602349,05/07/2019 12:07:28 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,210 WEST 107 STREET,WEST 107 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,,,In Progress,,05/07/2019 04:10:41 AM,07 MANHATTAN,MANHATTAN,993741,231219,Unspecified,MANHATTAN,,,,,,,,40.801313604964875,-73.965719066668,"(40.801313604964875, -73.965719066668)"
